column,source_file_group,measure_group,missing_percent,non_missing_count,dtype,meaning,lunar_use,decision
P_ALB_CR_URXUMS,P_ALB,Albumin / creatinine,19.6,12510,float64,Urine albumin in SI/unit-converted form.,Renal/general health biomarker support variable.,Keep
P_ALB_CR_URDUMALC,P_ALB,Albumin / creatinine,19.6,12510,float64,Urine albumin result comment/lower-limit code.,Quality/comment flag for urine albumin.,Support
P_ALB_CR_URXUCR,P_ALB,Albumin / creatinine,19.61,12509,float64,Urine creatinine.,Renal/urine concentration marker and albumin-creatinine context.,Keep
P_ALB_CR_URXCRS,P_ALB,Albumin / creatinine,19.61,12509,float64,Urine creatinine in SI/unit-converted form.,Renal/urine concentration marker support variable.,Keep
P_ALB_CR_URDUCRLC,P_ALB,Albumin / creatinine,19.61,12509,float64,Urine creatinine result comment/lower-limit code.,Quality/comment flag for urine creatinine.,Support
P_ALB_CR_URDACT,P_ALB,Albumin / creatinine,19.61,12509,float64,Urine albumin-to-creatinine ratio.,Core renal/general health biomarker.,Keep
P_DR1TOT_WTDRD1PP,P_DR1TOT,Dietary intake,8.1,14300,float64,Day 1 dietary sample weight for the 2017-March 2020 pre-pandemic file.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR1TOT_WTDR2DPP,P_DR1TOT,Dietary intake,18.8,12634,float64,Two-day dietary sample weight for the 2017-March 2020 pre-pandemic file.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR1TOT_DR1DRSTZ,P_DR1TOT,Dietary intake,8.1,14300,float64,Day 1 dietary recall status.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR1TOT_DR1EXMER,P_DR1TOT,Dietary intake,17.52,12834,float64,Day 1 dietary recall exam/interview mode or related status variable.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR1TOT_DRABF,P_DR1TOT,Dietary intake,18.8,12634,float64,Breastfeeding status/context variable in dietary recall file.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR1TOT_DRDINT,P_DR1TOT,Dietary intake,18.8,12634,float64,Number of days between dietary recalls or dietary interview timing variable.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR1TOT_DR1DBIH,P_DR1TOT,Dietary intake,21.79,12170,float64,Day 1 dietary recall interval or interview timing variable.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR1TOT_DR1DAY,P_DR1TOT,Dietary intake,17.52,12834,float64,Day of week for Day 1 dietary recall.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR1TOT_DR1LANG,P_DR1TOT,Dietary intake,17.43,12848,float64,Language used for Day 1 dietary recall.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR1TOT_DR1MRESP,P_DR1TOT,Dietary intake,18.88,12623,float64,Main respondent for Day 1 dietary recall.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR1TOT_DR1HELP,P_DR1TOT,Dietary intake,18.95,12611,float64,Assistance/helper indicator for Day 1 dietary recall.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR1TOT_DBQ095Z,P_DR1TOT,Dietary intake,17.52,12834,float64,Diet behavior / nutrition questionnaire variable included in dietary file; verify coding before modeling.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR1TOT_DRQSPREP,P_DR1TOT,Dietary intake,17.52,12834,float64,Special diet or salt preparation-related dietary questionnaire variable; verify coding before modeling.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR1TOT_DR1STY,P_DR1TOT,Dietary intake,17.52,12834,float64,Day 1 salt type / dietary behavior variable; verify coding before modeling.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR1TOT_DRQSDIET,P_DR1TOT,Dietary intake,17.52,12834,float64,Special diet indicator or dietary behavior variable; verify coding before modeling.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR1TOT_DR1TNUMF,P_DR1TOT,Dietary intake,18.8,12634,float64,Number of foods reported in Day 1 dietary recall.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR1TOT_DR1TKCAL,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Energy (kilocalories).,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Keep
P_DR1TOT_DR1TPROT,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Protein.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Keep
P_DR1TOT_DR1TCARB,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Carbohydrate.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Keep
P_DR1TOT_DR1TSUGR,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Total sugars.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Keep
P_DR1TOT_DR1TFIBE,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Dietary fiber.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Keep
P_DR1TOT_DR1TTFAT,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Total fat.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Keep
P_DR1TOT_DR1TSFAT,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Saturated fatty acids.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TMFAT,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Monounsaturated fatty acids.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TPFAT,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Polyunsaturated fatty acids.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TCHOL,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Dietary cholesterol.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Keep
P_DR1TOT_DR1TATOC,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Vitamin E as alpha-tocopherol.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TATOA,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Added alpha-tocopherol.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TRET,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Retinol.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TVARA,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Vitamin A as retinol activity equivalents.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TACAR,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Alpha-carotene.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TBCAR,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Beta-carotene.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TCRYP,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Beta-cryptoxanthin.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TLYCO,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Lycopene.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TLZ,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Lutein plus zeaxanthin.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TVB1,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Thiamin / vitamin B1.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TVB2,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Riboflavin / vitamin B2.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TNIAC,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Niacin.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TVB6,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Vitamin B6.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TFOLA,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Total folate.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TFA,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Folic acid.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TFF,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Food folate.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TFDFE,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Dietary folate equivalents.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TCHL,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Choline.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TVB12,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Vitamin B12.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Keep
P_DR1TOT_DR1TB12A,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Added vitamin B12.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TVC,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Vitamin C.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Keep
P_DR1TOT_DR1TVD,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Vitamin D.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Keep
P_DR1TOT_DR1TVK,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Vitamin K.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TCALC,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Calcium.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Keep
P_DR1TOT_DR1TPHOS,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Phosphorus.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TMAGN,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Magnesium.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TIRON,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Iron.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Keep
P_DR1TOT_DR1TZINC,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Zinc.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Keep
P_DR1TOT_DR1TCOPP,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Copper.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Keep
P_DR1TOT_DR1TSODI,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Sodium.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Keep
P_DR1TOT_DR1TPOTA,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Potassium.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Keep
P_DR1TOT_DR1TSELE,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Selenium.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Keep
P_DR1TOT_DR1TCAFF,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Caffeine.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TTHEO,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Theobromine.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TALCO,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Alcohol.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TMOIS,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: Moisture / water content.,Nutrition exposure/context variable for cardiometabolic and biochemical modeling.,Review
P_DR1TOT_DR1TS040,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: 4:0 saturated fatty acid.,Detailed fatty-acid exposure variable; use only if nutrition/lipid analysis needs fatty-acid detail.,Support
P_DR1TOT_DR1TS060,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: 6:0 saturated fatty acid.,Detailed fatty-acid exposure variable; use only if nutrition/lipid analysis needs fatty-acid detail.,Support
P_DR1TOT_DR1TS080,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: 8:0 saturated fatty acid.,Detailed fatty-acid exposure variable; use only if nutrition/lipid analysis needs fatty-acid detail.,Support
P_DR1TOT_DR1TS100,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: 10:0 saturated fatty acid.,Detailed fatty-acid exposure variable; use only if nutrition/lipid analysis needs fatty-acid detail.,Support
P_DR1TOT_DR1TS120,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: 12:0 saturated fatty acid.,Detailed fatty-acid exposure variable; use only if nutrition/lipid analysis needs fatty-acid detail.,Support
P_DR1TOT_DR1TS140,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: 14:0 saturated fatty acid.,Detailed fatty-acid exposure variable; use only if nutrition/lipid analysis needs fatty-acid detail.,Support
P_DR1TOT_DR1TS160,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: 16:0 saturated fatty acid.,Detailed fatty-acid exposure variable; use only if nutrition/lipid analysis needs fatty-acid detail.,Support
P_DR1TOT_DR1TS180,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: 18:0 saturated fatty acid.,Detailed fatty-acid exposure variable; use only if nutrition/lipid analysis needs fatty-acid detail.,Support
P_DR1TOT_DR1TM161,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: 16:1 monounsaturated fatty acid.,Detailed fatty-acid exposure variable; use only if nutrition/lipid analysis needs fatty-acid detail.,Support
P_DR1TOT_DR1TM181,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: 18:1 monounsaturated fatty acid.,Detailed fatty-acid exposure variable; use only if nutrition/lipid analysis needs fatty-acid detail.,Support
P_DR1TOT_DR1TM201,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: 20:1 monounsaturated fatty acid.,Detailed fatty-acid exposure variable; use only if nutrition/lipid analysis needs fatty-acid detail.,Support
P_DR1TOT_DR1TM221,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: 22:1 monounsaturated fatty acid.,Detailed fatty-acid exposure variable; use only if nutrition/lipid analysis needs fatty-acid detail.,Support
P_DR1TOT_DR1TP182,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: 18:2 polyunsaturated fatty acid.,Detailed fatty-acid exposure variable; use only if nutrition/lipid analysis needs fatty-acid detail.,Support
P_DR1TOT_DR1TP183,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: 18:3 polyunsaturated fatty acid.,Detailed fatty-acid exposure variable; use only if nutrition/lipid analysis needs fatty-acid detail.,Support
P_DR1TOT_DR1TP184,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: 18:4 polyunsaturated fatty acid.,Detailed fatty-acid exposure variable; use only if nutrition/lipid analysis needs fatty-acid detail.,Support
P_DR1TOT_DR1TP204,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: 20:4 polyunsaturated fatty acid.,Detailed fatty-acid exposure variable; use only if nutrition/lipid analysis needs fatty-acid detail.,Support
P_DR1TOT_DR1TP205,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: 20:5 polyunsaturated fatty acid.,Detailed fatty-acid exposure variable; use only if nutrition/lipid analysis needs fatty-acid detail.,Support
P_DR1TOT_DR1TP225,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: 22:5 polyunsaturated fatty acid.,Detailed fatty-acid exposure variable; use only if nutrition/lipid analysis needs fatty-acid detail.,Support
P_DR1TOT_DR1TP226,P_DR1TOT,Dietary intake,20.36,12392,float64,Day 1 total dietary intake: 22:6 polyunsaturated fatty acid.,Detailed fatty-acid exposure variable; use only if nutrition/lipid analysis needs fatty-acid detail.,Support
P_DR1TOT_DR1_300,P_DR1TOT,Dietary intake,17.52,12834,float64,Dietary recall variable retained after missingness filtering; exact coding should be verified in CDC documentation before modeling.,Potential dietary context variable; review before use.,Review
P_DR1TOT_DR1_320Z,P_DR1TOT,Dietary intake,18.8,12634,float64,Dietary recall variable retained after missingness filtering; exact coding should be verified in CDC documentation before modeling.,Potential dietary context variable; review before use.,Review
P_DR1TOT_DR1_330Z,P_DR1TOT,Dietary intake,18.8,12634,float64,Dietary recall variable retained after missingness filtering; exact coding should be verified in CDC documentation before modeling.,Potential dietary context variable; review before use.,Review
P_DR1TOT_DR1BWATZ,P_DR1TOT,Dietary intake,18.8,12634,float64,Day 1 bottled water amount/support variable; verify coding before modeling.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR1TOT_DR1TWSZ,P_DR1TOT,Dietary intake,17.52,12834,float64,Day 1 tap water amount/support variable; verify coding before modeling.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR1TOT_DRD340,P_DR1TOT,Dietary intake,20.8,12323,float64,Dietary recall support/behavior variable; verify coding before modeling.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR1TOT_DRD360,P_DR1TOT,Dietary intake,20.8,12323,float64,Dietary recall support/behavior variable; verify coding before modeling.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR2TOT_WTDRD1PP,P_DR2TOT,Dietary intake,8.1,14300,float64,Day 1 dietary sample weight for the 2017-March 2020 pre-pandemic file.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR2TOT_WTDR2DPP,P_DR2TOT,Dietary intake,18.8,12634,float64,Two-day dietary sample weight for the 2017-March 2020 pre-pandemic file.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR2TOT_DR2DRSTZ,P_DR2TOT,Dietary intake,8.1,14300,float64,Day 2 dietary recall status.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR2TOT_DR2EXMER,P_DR2TOT,Dietary intake,29.72,10936,float64,Day 2 dietary recall exam/interview mode or related status variable.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
